t   h   p
16.575000   1.005000   0.066637 
16.640000   1.003000   0.067858 
16.705000   0.997000   0.068783 
16.770000   0.995000   0.071995 
16.835000   0.993000   0.075555 
16.900000   0.988000   0.077807 
16.965000   0.982000   0.079674 
17.030000   0.979000   0.077981 
17.095000   0.975000   0.076917 
17.160000   0.971000   0.071558 
17.225000   0.966000   0.069621 
17.290000   0.961000   0.068941 
17.355000   0.959000   0.069255 
17.420000   0.954000   0.072728 
17.485000   0.952000   0.075276 
17.550000   0.951000   0.076236 
17.615000   0.950000   0.076131 
17.680000   0.948000   0.076411 
17.745000   0.947000   0.075503 
17.810000   0.948000   0.073059 
17.875000   0.949000   0.069708 
17.940000   0.950000   0.068417 
18.005000   0.950000   0.068417 
18.070000   0.950000   0.068417 
18.135000   0.956000   0.059900 
18.200000   0.963000   0.054838 
18.265000   0.968000   0.045413 
18.330000   0.972000   0.035849 
18.395000   0.981000   0.021572 
18.460000   0.989000   0.011380 
18.525000   1.003000   0.004555 
18.590000   1.017000   -0.000593 
18.655000   1.017000   -0.003211 
18.720000   1.040000   -0.003019 
18.785000   1.055000   -0.006388 
18.850000   1.062000   -0.007732 
18.915000   1.067000   -0.008412 
18.980000   1.069000   -0.008186 
19.045000   1.072000   -0.009442 
19.110000   1.072000   -0.009495 
19.175000   1.070000   -0.009076 
19.240000   1.065000   -0.007505 
19.305000   1.060000   -0.006248 
19.370000   1.051000   -0.004677 
19.435000   1.043000   -0.000785 
19.500000   1.043000   0.000646 
19.565000   1.043000   0.003142 
19.630000   1.021000   0.004294 
19.695000   1.011000   0.006301 
19.760000   1.001000   0.006615 
19.825000   0.989000   0.007138 
19.890000   0.980000   0.008570 
19.955000   0.972000   0.010769 
20.020000   0.965000   0.013107 
20.085000   0.958000   0.013928 
20.150000   0.955000   0.014102 
20.215000   0.951000   0.016476 
20.280000   0.951000   0.016476 
20.345000   0.951000   0.019426 
20.410000   0.950000   0.021206 
20.475000   0.950000   0.022707 
20.540000   0.949000   0.023981 
20.605000   0.955000   0.025831 
20.670000   0.956000   0.028554 
20.735000   0.957000   0.028938 
20.800000   0.960000   0.028676 
20.865000   0.965000   0.026424 
20.930000   0.968000   0.025290 
20.995000   0.975000   0.026477 
21.060000   0.978000   0.026930 
21.125000   0.979000   0.025761 
21.190000   0.979000   0.024784 
21.255000   0.980000   0.024627 
21.320000   0.985000   0.024155 
21.385000   0.987000   0.023457 
21.450000   0.987000   0.023457 
21.515000   0.991000   0.023492 
21.580000   0.997000   0.024644 
21.645000   0.997000   0.023963 
21.710000   0.999000   0.022148 
21.775000   1.000000   0.019268 
21.840000   1.000000   0.019268 
21.905000   0.998000   0.019932 
21.970000   0.998000   0.018204 
22.035000   0.998000   0.019286 
22.100000   0.998000   0.019286 
22.165000   0.998000   0.018535 
22.230000   0.996000   0.017174 
22.295000   0.995000   0.015900 
22.360000   0.995000   0.015900 
22.425000   0.997000   0.015586 
22.490000   0.998000   0.015394 
22.555000   1.001000   0.015010 
22.620000   1.002000   0.014661 
22.685000   1.004000   0.014975 
22.750000   1.004000   0.014975 
22.815000   1.006000   0.015115 
22.880000   1.008000   0.014539 
22.945000   1.005000   0.014382 
23.010000   1.005000   0.014451 
23.075000   1.005000   0.014451 
23.140000   1.004000   0.014626 
23.205000   1.003000   0.014888 
23.270000   1.002000   0.014294 
23.335000   1.003000   0.013125 
23.400000   1.005000   0.010891 
23.465000   1.007000   0.009617 
23.530000   1.007000   0.009320 
23.595000   1.007000   0.009320 
23.660000   1.007000   0.009076 
23.725000   1.010000   0.008727 
23.790000   1.008000   0.008779 
23.855000   1.007000   0.009809 
23.920000   1.005000   0.010140 
23.985000   1.003000   0.010210 
24.050000   1.002000   0.009320 
24.115000   1.002000   0.008325 
24.180000   1.001000   0.007156 
24.245000   0.999000   0.006562 
24.310000   0.999000   0.006178 
24.375000   0.998000   0.007365 
24.440000   0.998000   0.007924 
24.505000   1.000000   0.007313 
24.570000   1.000000   0.006021 
24.635000   1.001000   0.007295 
24.700000   1.002000   0.007243 
24.765000   1.007000   0.007226 
24.830000   1.007000   0.007226 
24.895000   1.007000   0.007226 
24.960000   1.007000   0.007226 
25.025000   1.003000   0.005219 
25.090000   1.000000   0.004992 
25.155000   0.999000   0.004014 
25.220000   0.997000   0.003176 
25.285000   0.998000   0.004084 
25.350000   0.999000   0.003822 
25.415000   0.999000   0.003176 
25.480000   1.000000   0.002810 
25.545000   1.001000   0.002932 
25.610000   1.001000   0.002932 
25.675000   1.005000   0.000873 
25.740000   1.004000   0.000646 
25.805000   1.002000   0.000506 
25.870000   1.002000   0.000593 
25.935000   1.002000   0.001658 
26.000000   1.001000   0.002164 
26.065000   1.005000   0.001990 
26.130000   1.005000   0.002059 
26.195000   1.007000   0.001937 
26.260000   1.007000   0.002985 
